# 2026-09-25T11:44:16+08:00 run mc-track-ff85-s1: mc.py  --env CORNER=mos_ff --env TEMP=85 --env NS=100 --env N0=1 --env JOBS=1 --env VLO=0.3 --env VBAR=0.15 --env SCAN=0.20:0.65:0.025   (commit 530b0ea)
mc: mos_ff_mismatch 85C VLO=0.3 VBAR=0.15 sense 10.0 ns, seeds 1..100, scan [0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65], TSTOP 50m
seed     1 vw1 0.8195 vw0 0.1937 L1 0.4053 H0 0.3536 t1 1.1026e-03 t0 inf life 1.1026e-03 t0park inf lifepark 1.1026e-03  rbl 1.138 1.109 1.067 1.008 0.929 0.830 0.716 0.608 0.517 0.437 0.363 0.294 0.230 0.180 0.156 0.151 0.150 0.150 0.150
seed     2 vw1 0.8154 vw0 0.1922 L1 0.4393 H0 0.385 t1 9.0704e-04 t0 inf life 9.0704e-04 t0park inf lifepark 9.0704e-04  rbl 1.161 1.143 1.115 1.076 1.021 0.947 0.852 0.742 0.636 0.546 0.466 0.393 0.324 0.259 0.202 0.165 0.152 0.150 0.150
seed     3 vw1 0.8499 vw0 0.1964 L1 0.43 H0 0.3738 t1 8.3958e-04 t0 inf life 8.3958e-04 t0park inf lifepark 8.3958e-04  rbl 1.152 1.130 1.098 1.052 0.989 0.905 0.803 0.695 0.599 0.515 0.440 0.370 0.303 0.241 0.188 0.159 0.151 0.150 0.150
seed     4 vw1 0.8325 vw0 0.1886 L1 0.4084 H0 0.353 t1 9.4530e-04 t0 inf life 9.4530e-04 t0park inf lifepark 9.4530e-04  rbl 1.134 1.103 1.060 1.000 0.920 0.821 0.712 0.612 0.526 0.448 0.376 0.308 0.244 0.189 0.160 0.151 0.150 0.150 0.150
seed     5 vw1 0.8550 vw0 0.1942 L1 0.4122 H0 0.3629 t1 8.7124e-04 t0 inf life 8.7124e-04 t0park inf lifepark 8.7124e-04  rbl 1.147 1.122 1.085 1.032 0.961 0.870 0.760 0.643 0.542 0.456 0.379 0.308 0.241 0.187 0.158 0.151 0.150 0.150 0.150
seed     6 vw1 0.8853 vw0 0.1909 L1 0.4119 H0 0.3654 t1 6.2087e-04 t0 inf life 6.2087e-04 t0park inf lifepark 6.2087e-04  rbl 1.150 1.125 1.089 1.038 0.970 0.882 0.774 0.654 0.544 0.452 0.371 0.298 0.231 0.179 0.156 0.151 0.150 0.150 0.150
seed     7 vw1 0.8458 vw0 0.1944 L1 0.4245 H0 0.3739 t1 8.6301e-04 t0 inf life 8.6301e-04 t0park inf lifepark 8.6301e-04  rbl 1.155 1.133 1.102 1.056 0.994 0.912 0.810 0.695 0.588 0.498 0.418 0.345 0.276 0.214 0.170 0.154 0.150 0.150 0.150
seed     8 vw1 0.8608 vw0 0.1911 L1 0.4302 H0 0.3789 t1 7.3619e-04 t0 inf life 7.3619e-04 t0park inf lifepark 7.3619e-04  rbl 1.159 1.139 1.109 1.067 1.008 0.930 0.831 0.717 0.608 0.517 0.436 0.363 0.294 0.231 0.180 0.156 0.151 0.150 0.150
seed     9 vw1 0.8616 vw0 0.1921 L1 0.4212 H0 0.3707 t1 7.6765e-04 t0 inf life 7.6765e-04 t0park inf lifepark 7.6765e-04  rbl 1.153 1.130 1.097 1.049 0.984 0.900 0.796 0.680 0.575 0.486 0.408 0.335 0.267 0.206 0.166 0.153 0.150 0.150 0.150
seed    10 vw1 0.8497 vw0 0.1922 L1 0.4254 H0 0.3743 t1 8.2839e-04 t0 inf life 8.2839e-04 t0park inf lifepark 8.2839e-04  rbl 1.155 1.134 1.102 1.057 0.995 0.913 0.812 0.697 0.591 0.501 0.422 0.350 0.281 0.219 0.173 0.154 0.150 0.150 0.150
seed    11 vw1 0.8455 vw0 0.1909 L1 0.3831 H0 0.3328 t1 1.0162e-03 t0 inf life 1.0162e-03 t0park inf lifepark 1.0162e-03  rbl 1.114 1.074 1.018 0.943 0.848 0.735 0.623 0.527 0.444 0.368 0.297 0.232 0.180 0.156 0.151 0.150 0.150 0.150 0.150
seed    12 vw1 0.8465 vw0 0.1966 L1 0.391 H0 0.341 t1 1.0379e-03 t0 inf life 1.0379e-03 t0park inf lifepark 1.0379e-03  rbl 1.124 1.089 1.039 0.971 0.883 0.775 0.658 0.556 0.469 0.392 0.320 0.254 0.196 0.162 0.152 0.150 0.150 0.150 0.150
seed    13 vw1 0.8584 vw0 0.1893 L1 0.4496 H0 0.3964 t1 6.6574e-04 t0 inf life 6.6574e-04 t0park inf lifepark 6.6574e-04  rbl 1.169 1.153 1.130 1.097 1.049 0.984 0.899 0.795 0.684 0.584 0.498 0.421 0.350 0.282 0.220 0.174 0.155 0.151 0.150
seed    14 vw1 0.7981 vw0 0.1894 L1 0.4276 H0 0.3725 t1 1.0078e-03 t0 inf life 1.0078e-03 t0park inf lifepark 1.0078e-03  rbl 1.153 1.130 1.097 1.051 0.986 0.902 0.799 0.689 0.592 0.508 0.432 0.361 0.294 0.231 0.181 0.156 0.151 0.150 0.150
seed    15 vw1 0.8633 vw0 0.1950 L1 0.4155 H0 0.361 t1 7.9844e-04 t0 inf life 7.9844e-04 t0park inf lifepark 7.9844e-04  rbl 1.143 1.116 1.078 1.024 0.951 0.857 0.746 0.640 0.550 0.470 0.396 0.327 0.262 0.203 0.165 0.152 0.150 0.150 0.150
seed    16 vw1 0.8613 vw0 0.1960 L1 0.4129 H0 0.3623 t1 8.2654e-04 t0 inf life 8.2654e-04 t0park inf lifepark 8.2654e-04  rbl 1.145 1.119 1.082 1.029 0.957 0.866 0.756 0.642 0.544 0.459 0.383 0.312 0.247 0.191 0.160 0.151 0.150 0.150 0.150
seed    17 vw1 0.8506 vw0 0.1918 L1 0.4461 H0 0.3949 t1 7.2891e-04 t0 inf life 7.2891e-04 t0park inf lifepark 7.2891e-04  rbl 1.169 1.153 1.130 1.096 1.048 0.982 0.896 0.792 0.677 0.574 0.486 0.409 0.337 0.269 0.209 0.168 0.153 0.150 0.150
seed    18 vw1 0.8335 vw0 0.1948 L1 0.4171 H0 0.3652 t1 9.8457e-04 t0 inf life 9.8457e-04 t0park inf lifepark 9.8457e-04  rbl 1.147 1.122 1.085 1.034 0.964 0.876 0.769 0.656 0.558 0.473 0.397 0.326 0.259 0.200 0.164 0.152 0.150 0.150 0.150
seed    19 vw1 0.8308 vw0 0.1937 L1 0.3764 H0 0.3244 t1 1.1224e-03 t0 1.0065e-03 life 1.0065e-03 t0park inf lifepark 1.1224e-03  rbl 1.101 1.056 0.995 0.913 0.811 0.697 0.593 0.504 0.425 0.353 0.284 0.221 0.174 0.155 0.151 0.150 0.150 0.150 0.150
seed    20 vw1 0.8666 vw0 0.1945 L1 0.3997 H0 0.3463 t1 8.0293e-04 t0 9.1214e-04 life 8.0293e-04 t0park inf lifepark 8.0293e-04  rbl 1.128 1.095 1.048 0.984 0.899 0.796 0.684 0.584 0.499 0.423 0.352 0.285 0.223 0.176 0.155 0.151 0.150 0.150 0.150
seed    21 vw1 0.8314 vw0 0.1942 L1 0.4256 H0 0.377 t1 9.3536e-04 t0 inf life 9.3536e-04 t0park inf lifepark 9.3536e-04  rbl 1.158 1.137 1.107 1.064 1.003 0.924 0.825 0.709 0.597 0.502 0.420 0.345 0.276 0.213 0.170 0.153 0.150 0.150 0.150
seed    22 vw1 0.8123 vw0 0.1909 L1 0.4044 H0 0.3516 t1 1.0865e-03 t0 inf life 1.0865e-03 t0park inf lifepark 1.0865e-03  rbl 1.135 1.105 1.061 1.001 0.920 0.820 0.706 0.603 0.514 0.435 0.362 0.294 0.230 0.179 0.156 0.151 0.150 0.150 0.150
seed    23 vw1 0.8767 vw0 0.1945 L1 0.3909 H0 0.3328 t1 7.5975e-04 t0 2.5589e-04 life 2.5589e-04 t0park inf lifepark 7.5975e-04  rbl 1.108 1.067 1.010 0.934 0.837 0.730 0.633 0.549 0.472 0.401 0.334 0.269 0.210 0.169 0.153 0.150 0.150 0.150 0.150
seed    24 vw1 0.8178 vw0 0.1885 L1 0.4378 H0 0.3834 t1 8.9546e-04 t0 inf life 8.9546e-04 t0park inf lifepark 8.9546e-04  rbl 1.161 1.142 1.114 1.073 1.017 0.941 0.845 0.735 0.631 0.541 0.461 0.388 0.318 0.253 0.195 0.162 0.152 0.150 0.150
seed    25 vw1 0.8061 vw0 0.1874 L1 0.4633 H0 0.4089 t1 8.1128e-04 t0 inf life 8.1128e-04 t0park inf lifepark 8.1128e-04  rbl 1.175 1.162 1.144 1.116 1.076 1.020 0.944 0.848 0.737 0.632 0.542 0.463 0.390 0.321 0.256 0.199 0.163 0.152 0.150
seed    26 vw1 0.8072 vw0 0.1939 L1 0.4055 H0 0.353 t1 1.1548e-03 t0 inf life 1.1548e-03 t0park inf lifepark 1.1548e-03  rbl 1.136 1.106 1.064 1.004 0.925 0.826 0.713 0.607 0.517 0.438 0.365 0.297 0.233 0.182 0.157 0.151 0.150 0.150 0.150
seed    27 vw1 0.8271 vw0 0.1881 L1 0.4096 H0 0.3551 t1 9.6751e-04 t0 inf life 9.6751e-04 t0park inf lifepark 9.6751e-04  rbl 1.137 1.108 1.066 1.007 0.929 0.832 0.721 0.618 0.530 0.452 0.379 0.311 0.246 0.191 0.160 0.151 0.150 0.150 0.150
seed    28 vw1 0.8754 vw0 0.1951 L1 0.4476 H0 0.3926 t1 6.1716e-04 t0 inf life 6.1716e-04 t0park inf lifepark 6.1716e-04  rbl 1.166 1.149 1.124 1.088 1.037 0.969 0.881 0.776 0.668 0.574 0.492 0.417 0.347 0.281 0.219 0.174 0.155 0.151 0.150
seed    29 vw1 0.8334 vw0 0.1884 L1 0.4307 H0 0.3758 t1 8.5267e-04 t0 inf life 8.5267e-04 t0park inf lifepark 8.5267e-04  rbl 1.155 1.133 1.102 1.057 0.995 0.914 0.813 0.703 0.604 0.518 0.440 0.369 0.300 0.237 0.184 0.158 0.151 0.150 0.150
seed    30 vw1 0.8435 vw0 0.1941 L1 0.4348 H0 0.3829 t1 8.6467e-04 t0 inf life 8.6467e-04 t0park inf lifepark 8.6467e-04  rbl 1.161 1.142 1.114 1.074 1.018 0.942 0.847 0.734 0.625 0.532 0.451 0.377 0.308 0.244 0.189 0.159 0.151 0.150 0.150
seed    31 vw1 0.8364 vw0 0.1958 L1 0.4077 H0 0.3529 t1 1.0359e-03 t0 inf life 1.0359e-03 t0park inf lifepark 1.0359e-03  rbl 1.134 1.104 1.061 1.001 0.921 0.822 0.712 0.611 0.524 0.447 0.375 0.307 0.243 0.189 0.159 0.151 0.150 0.150 0.150
seed    32 vw1 0.8727 vw0 0.1953 L1 0.4087 H0 0.3582 t1 7.3729e-04 t0 inf life 7.3729e-04 t0park inf lifepark 7.3729e-04  rbl 1.142 1.114 1.075 1.019 0.944 0.849 0.737 0.624 0.529 0.446 0.371 0.301 0.235 0.183 0.157 0.151 0.150 0.150 0.150
seed    33 vw1 0.8446 vw0 0.1930 L1 0.4218 H0 0.3679 t1 8.9150e-04 t0 inf life 8.9150e-04 t0park inf lifepark 8.9150e-04  rbl 1.149 1.125 1.090 1.040 0.972 0.884 0.779 0.669 0.573 0.489 0.413 0.343 0.276 0.214 0.171 0.154 0.150 0.150 0.150
seed    34 vw1 0.8474 vw0 0.1918 L1 0.4145 H0 0.3656 t1 9.0115e-04 t0 inf life 9.0115e-04 t0park inf lifepark 9.0115e-04  rbl 1.150 1.125 1.089 1.038 0.969 0.881 0.773 0.656 0.551 0.463 0.384 0.311 0.243 0.187 0.158 0.151 0.150 0.150 0.150
seed    35 vw1 0.8753 vw0 0.1942 L1 0.4551 H0 0.4007 t1 6.0189e-04 t0 inf life 6.0189e-04 t0park inf lifepark 6.0189e-04  rbl 1.171 1.156 1.135 1.103 1.058 0.996 0.914 0.814 0.703 0.602 0.516 0.439 0.367 0.300 0.237 0.185 0.158 0.151 0.150
seed    36 vw1 0.8887 vw0 0.1911 L1 0.4238 H0 0.3685 t1 5.4775e-04 t0 inf life 5.4775e-04 t0park inf lifepark 5.4775e-04  rbl 1.149 1.125 1.090 1.040 0.972 0.885 0.779 0.672 0.578 0.496 0.421 0.351 0.284 0.222 0.175 0.155 0.151 0.150 0.150
seed    37 vw1 0.8317 vw0 0.1859 L1 0.4226 H0 0.3741 t1 8.3207e-04 t0 inf life 8.3207e-04 t0park inf lifepark 8.3207e-04  rbl 1.157 1.135 1.103 1.058 0.995 0.914 0.813 0.696 0.585 0.491 0.409 0.334 0.264 0.203 0.164 0.152 0.150 0.150 0.150
seed    38 vw1 0.8233 vw0 0.1890 L1 0.4344 H0 0.3851 t1 8.9486e-04 t0 inf life 8.9486e-04 t0park inf lifepark 8.9486e-04  rbl 1.163 1.145 1.118 1.079 1.024 0.950 0.858 0.746 0.631 0.532 0.447 0.370 0.299 0.234 0.182 0.157 0.151 0.150 0.150
seed    39 vw1 0.8252 vw0 0.1915 L1 0.3893 H0 0.3366 t1 1.1208e-03 t0 inf life 1.1208e-03 t0park inf lifepark 1.1208e-03  rbl 1.116 1.078 1.024 0.952 0.860 0.750 0.641 0.547 0.465 0.389 0.319 0.252 0.195 0.161 0.152 0.150 0.150 0.150 0.150
seed    40 vw1 0.8433 vw0 0.1925 L1 0.4274 H0 0.3769 t1 8.6279e-04 t0 inf life 8.6279e-04 t0park inf lifepark 8.6279e-04  rbl 1.157 1.136 1.105 1.061 1.000 0.921 0.822 0.708 0.600 0.508 0.427 0.353 0.284 0.221 0.174 0.155 0.151 0.150 0.150
seed    41 vw1 0.8138 vw0 0.1914 L1 0.401 H0 0.3486 t1 1.0975e-03 t0 inf life 1.0975e-03 t0park inf lifepark 1.0975e-03  rbl 1.131 1.099 1.053 0.991 0.908 0.807 0.694 0.591 0.503 0.425 0.352 0.284 0.221 0.174 0.155 0.151 0.150 0.150 0.150
seed    42 vw1 0.8641 vw0 0.1914 L1 0.393 H0 0.3396 t1 8.4496e-04 t0 inf life 8.4496e-04 t0park inf lifepark 8.4496e-04  rbl 1.121 1.085 1.034 0.964 0.873 0.764 0.654 0.560 0.477 0.402 0.331 0.265 0.205 0.166 0.152 0.150 0.150 0.150 0.150
seed    43 vw1 0.8053 vw0 0.1914 L1 0.4193 H0 0.3641 t1 1.0540e-03 t0 inf life 1.0540e-03 t0park inf lifepark 1.0540e-03  rbl 1.145 1.119 1.082 1.029 0.958 0.867 0.760 0.654 0.562 0.482 0.408 0.338 0.272 0.212 0.170 0.154 0.150 0.150 0.150
seed    44 vw1 0.8575 vw0 0.1865 L1 0.3844 H0 0.3309 t1 8.2473e-04 t0 3.0460e-04 life 3.0460e-04 t0park inf lifepark 8.2473e-04  rbl 1.108 1.068 1.010 0.933 0.836 0.725 0.620 0.530 0.450 0.377 0.308 0.243 0.189 0.159 0.151 0.150 0.150 0.150 0.150
seed    45 vw1 0.8841 vw0 0.1916 L1 0.4382 H0 0.3875 t1 5.5793e-04 t0 inf life 5.5793e-04 t0park inf lifepark 5.5793e-04  rbl 1.165 1.147 1.121 1.083 1.029 0.957 0.866 0.757 0.643 0.545 0.460 0.383 0.311 0.244 0.189 0.159 0.151 0.150 0.150
seed    46 vw1 0.8703 vw0 0.1962 L1 0.4063 H0 0.3542 t1 8.1153e-04 t0 inf life 8.1153e-04 t0park inf lifepark 8.1153e-04  rbl 1.138 1.108 1.066 1.008 0.930 0.831 0.718 0.611 0.520 0.440 0.367 0.298 0.234 0.182 0.157 0.151 0.150 0.150 0.150
seed    47 vw1 0.8559 vw0 0.1902 L1 0.4038 H0 0.3545 t1 7.9595e-04 t0 inf life 7.9595e-04 t0park inf lifepark 7.9595e-04  rbl 1.139 1.110 1.068 1.010 0.933 0.835 0.720 0.608 0.513 0.430 0.355 0.286 0.222 0.175 0.155 0.151 0.150 0.150 0.150
seed    48 vw1 0.8294 vw0 0.1890 L1 0.4105 H0 0.3618 t1 9.9234e-04 t0 inf life 9.9234e-04 t0park inf lifepark 9.9234e-04  rbl 1.147 1.121 1.083 1.030 0.958 0.866 0.755 0.638 0.536 0.450 0.372 0.300 0.234 0.181 0.156 0.151 0.150 0.150 0.150
seed    49 vw1 0.8223 vw0 0.1910 L1 0.421 H0 0.3688 t1 9.8101e-04 t0 inf life 9.8101e-04 t0park inf lifepark 9.8101e-04  rbl 1.151 1.128 1.094 1.045 0.978 0.891 0.785 0.672 0.572 0.486 0.410 0.338 0.271 0.210 0.169 0.153 0.150 0.150 0.150
seed    50 vw1 0.8208 vw0 0.1943 L1 0.4071 H0 0.3538 t1 1.0899e-03 t0 inf life 1.0899e-03 t0park inf lifepark 1.0899e-03  rbl 1.136 1.106 1.064 1.005 0.926 0.828 0.716 0.611 0.522 0.443 0.371 0.303 0.239 0.186 0.158 0.151 0.150 0.150 0.150
seed    51 vw1 0.9266 vw0 0.1967 L1 0.4445 H0 0.3919 t1 3.5772e-04 t0 inf life 3.5772e-04 t0park inf lifepark 3.5772e-04  rbl 1.167 1.151 1.127 1.091 1.041 0.972 0.884 0.776 0.663 0.566 0.481 0.406 0.335 0.268 0.208 0.167 0.153 0.150 0.150
seed    52 vw1 0.8395 vw0 0.1870 L1 0.4125 H0 0.3597 t1 8.4513e-04 t0 inf life 8.4513e-04 t0park inf lifepark 8.4513e-04  rbl 1.142 1.115 1.076 1.021 0.946 0.852 0.742 0.634 0.541 0.459 0.385 0.315 0.249 0.193 0.161 0.152 0.150 0.150 0.150
seed    53 vw1 0.8507 vw0 0.1962 L1 0.4393 H0 0.39 t1 8.0307e-04 t0 inf life 8.0307e-04 t0park inf lifepark 8.0307e-04  rbl 1.167 1.150 1.125 1.089 1.038 0.968 0.879 0.770 0.653 0.550 0.462 0.385 0.313 0.246 0.190 0.160 0.151 0.150 0.150
seed    54 vw1 0.8275 vw0 0.1905 L1 0.4288 H0 0.3735 t1 9.1072e-04 t0 inf life 9.1072e-04 t0park inf lifepark 9.1072e-04  rbl 1.153 1.131 1.099 1.053 0.990 0.906 0.804 0.694 0.596 0.512 0.435 0.365 0.297 0.234 0.183 0.157 0.151 0.150 0.150
